a,b,c,d,e,f,g,h,i
[0.5416982],0,1,1,1,0.5416982,0.5416982,3.5416982,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5661549],1,1,1,1,0.5661549,0.5661549,4.5661549,1
[0.61310893],1,1,1,1,0.61310893,0.61310893,4.61310893,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5209566],0,0,0,0,0.5209566,0.5209566,0.5209566,0
[0.7505496],1,1,1,1,0.7505496,0.7505496,4.7505496,1
[0.7880542],1,1,1,1,0.7880542,0.7880542,4.7880542,1
[0.53054774],0,1,1,1,0.53054774,0.53054774,3.53054774,0
[0.4840188],1,0,0,1,0.4840188,0.4840188,2.4840188,0
[0.49286425],0,0,0,0,0.49286425,0.49286425,0.49286425,0
[0.70994616],1,1,1,1,0.70994616,0.70994616,4.70994616,1
[0.73507667],1,1,1,1,0.73507667,0.73507667,4.73507667,1
[0.51006013],0,1,1,0,0.51006013,0.51006013,2.51006013,0
[0.7165053],1,1,1,1,0.7165053,0.7165053,4.7165053,1
[0.65524614],0,1,1,1,0.65524614,0.65524614,3.65524614,0
[0.47911024],1,0,1,0,0.47911024,0.47911024,2.47911024,0
[0.45263243],0,1,1,1,0.45263243,0.45263243,3.45263243,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.67463],1,1,1,1,0.67463,0.67463,4.67463,1
[0.6072242],1,1,1,1,0.6072242,0.6072242,4.6072242,1
[0.6466094],0,1,1,1,0.6466094,0.6466094,3.6466094,0
[0.54639584],0,1,1,0,0.54639584,0.54639584,2.54639584,0
[0.7441386],1,1,1,1,0.7441386,0.7441386,4.7441386,1
[0.46781287],1,0,1,1,0.46781287,0.46781287,3.46781287,0
[0.6518085],1,1,1,1,0.6518085,0.6518085,4.6518085,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.78588086],1,1,1,1,0.78588086,0.78588086,4.78588086,1
[0.56855714],1,1,1,1,0.56855714,0.56855714,4.56855714,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.48093808],1,1,1,1,0.48093808,0.48093808,4.48093808,1
[0.5113194],1,1,1,1,0.5113194,0.5113194,4.5113194,1
[0.4892383],0,1,1,0,0.4892383,0.4892383,2.4892383,0
[0.53108466],1,0,1,1,0.53108466,0.53108466,3.53108466,0
[0.5757506],1,1,1,1,0.5757506,0.5757506,4.5757506,1
[0.46979076],1,0,0,0,0.46979076,0.46979076,1.46979076,0
[0.83546966],1,1,1,1,0.83546966,0.83546966,4.83546966,1
[0.4458754],0,0,0,1,0.4458754,0.4458754,1.4458754,0
[0.63636696],0,1,1,1,0.63636696,0.63636696,3.63636696,0
[0.61948586],0,1,1,1,0.61948586,0.61948586,3.61948586,0
[0.6186842],1,1,1,1,0.6186842,0.6186842,4.6186842,1
[0.6014041],1,1,1,1,0.6014041,0.6014041,4.6014041,1
[0.4352329],0,0,0,1,0.4352329,0.4352329,1.4352329,0
[0.4087623],0,0,0,0,0.4087623,0.4087623,0.4087623,0
[0.48238745],0,0,0,0,0.48238745,0.48238745,0.48238745,0
[0.48046115],0,0,0,1,0.48046115,0.48046115,1.48046115,0
[0.21731362],0,0,0,0,0.21731362,0.21731362,0.21731362,0
[0.6085369],1,1,1,1,0.6085369,0.6085369,4.6085369,1
[0.5911478],1,1,1,1,0.5911478,0.5911478,4.5911478,1
[0.57660776],1,1,1,1,0.57660776,0.57660776,4.57660776,1
[0.46496272],0,0,0,0,0.46496272,0.46496272,0.46496272,0
[0.6892511],1,1,1,1,0.6892511,0.6892511,4.6892511,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5907018],1,1,1,1,0.5907018,0.5907018,4.5907018,1
[0.5364212],0,1,1,1,0.5364212,0.5364212,3.5364212,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.7675027],0,1,1,1,0.7675027,0.7675027,3.7675027,0
[0.52369195],1,1,1,1,0.52369195,0.52369195,4.52369195,1
[0.59915805],1,1,1,1,0.59915805,0.59915805,4.59915805,1
[0.6061406],1,1,1,1,0.6061406,0.6061406,4.6061406,1
[0.5517586],1,1,1,1,0.5517586,0.5517586,4.5517586,1
[0.7886013],1,1,1,1,0.7886013,0.7886013,4.7886013,1
[0.7315054],1,1,1,1,0.7315054,0.7315054,4.7315054,1
[0.53249437],0,1,1,1,0.53249437,0.53249437,3.53249437,0
[0.5735326],0,0,0,0,0.5735326,0.5735326,0.5735326,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.516687],0,1,1,0,0.516687,0.516687,2.516687,0
[0.51971424],0,1,1,0,0.51971424,0.51971424,2.51971424,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.7871666],1,1,1,1,0.7871666,0.7871666,4.7871666,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5498221],0,1,1,0,0.5498221,0.5498221,2.5498221,0
[0.6405724],1,1,1,1,0.6405724,0.6405724,4.6405724,1
[0.7348945],1,1,1,1,0.7348945,0.7348945,4.7348945,1
[0.4044642],0,0,0,0,0.4044642,0.4044642,0.4044642,0
[0.6141051],1,1,1,1,0.6141051,0.6141051,4.6141051,1
[0.4954899],1,1,1,1,0.4954899,0.4954899,4.4954899,1
[0.60082847],1,1,1,1,0.60082847,0.60082847,4.60082847,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5845845],1,1,1,1,0.5845845,0.5845845,4.5845845,1
[0.7885548],0,1,1,1,0.7885548,0.7885548,3.7885548,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6354706],0,1,1,1,0.6354706,0.6354706,3.6354706,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5824293],1,1,1,1,0.5824293,0.5824293,4.5824293,1
[0.5188609],0,1,1,0,0.5188609,0.5188609,2.5188609,0
[0.48912415],1,0,0,1,0.48912415,0.48912415,2.48912415,0
[0.5724156],1,1,1,1,0.5724156,0.5724156,4.5724156,1
[0.58330595],1,1,1,1,0.58330595,0.58330595,4.58330595,1
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.5451254],0,1,1,1,0.5451254,0.5451254,3.5451254,0
[0.5520791],1,1,1,1,0.5520791,0.5520791,4.5520791,1
[0.7886238],1,1,1,1,0.7886238,0.7886238,4.7886238,1
